15:51:02: Всего строк:  68
15:54:34: {'Kodeks': '1700780350', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:34: {'Kodeks': '1700785406', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:35: {'Kodeks': '1699263739', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:35: {'Kodeks': '1700781767', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:36: {'Kodeks': '1700786170', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:36: {'Kodeks': '1700785289', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:36: {'Kodeks': '1700784853', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:54:37: {'Kodeks': '1700786486', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:54:37: {'Kodeks': '1699461509', 'KodeksData': 'XzE2Nzc3MzQzXzE3OTMyMDU='}
15:54:37: {'Kodeks': '1700788483', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:54:38: {'Kodeks': '1699461510', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:54:38: {'Kodeks': '1700787076', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:54:38: {'Kodeks': '1700782338', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:54:39: {'Kodeks': '1700788252', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
